district,deforested_km2,forest_km2_2016,forest_km2_2024,land_km2,ever_forest_km2,forest_pct_now,forest_loss_pct,protected_loss_km2,forest_km2_per_year,forest_pct_per_year,years_available,trend,recent_loss_km2,loss_rate_all_km2_yr,loss_rate_recent_km2_yr,acceleration,alert,priority,restoration_need,restoration_tier
Chuadanga,311.9205322265625,543.5955200195312,397.4093933105469,1114.0633544921875,763.7890014648438,35.67206404448103,40.83857343171232,0.0,-13.088374328610247,-2.44110104578347,9,declining,146.47573852539062,38.99,48.825,1.25,False,Medium,45.6,Low
Manikganj,281.4734802246094,466.4117126464844,376.87774658203125,1084.8785400390625,712.31982421875,34.73916504685043,39.51504235240408,0.0,-11.48840230305635,-2.332975030049505,9,declining,73.91510772705078,35.184,24.638,0.7,False,Medium,45.2,Low
Jhenaidah,358.8949890136719,734.3054809570312,572.4783935546875,1927.4580078125,949.8067016601562,29.701212230527478,37.78610830881309,0.0,-10.65798645019468,-1.6231932857367113,9,declining,80.01610565185547,44.862,26.672,0.59,False,Medium,43.4,Low
Habiganj,131.90933227539062,515.7783813476562,471.0376281738281,2068.549560546875,614.684814453125,22.771396787287856,21.459669927383548,0.01270470099457081,-4.825266011555106,-0.9507563494252184,9,stable,37.367530822753906,16.489,12.456,0.76,False,Medium,41.9,Low
Noakhali,456.6562194824219,883.08984375,767.1478271484375,2205.606689453125,1245.277587890625,34.7817147461885,36.6710381623387,0.0,-19.61622517903127,-2.152880685147379,9,declining,190.85108947753906,57.082,63.617,1.11,False,Medium,40.3,Low
Barisal,483.3405456542969,1138.2115478515625,818.5388793945312,1827.5869140625,1277.473876953125,44.78795908945421,37.8356500570565,0.0,-38.71789347330267,-3.926010390103539,9,declining,189.04417419433594,60.418,63.015,1.04,False,Medium,39.8,Low
Bhola,241.621337890625,533.44873046875,425.9247131347656,1372.5831298828125,700.0318603515625,31.030886498738326,34.51576300674094,0.0,-10.383052571612476,-1.9999714708429916,9,declining,95.6696548461914,30.203,31.89,1.06,False,Medium,38.1,Low
Brahamanbaria,179.6997528076172,249.29991149902344,256.4177551269531,1343.619873046875,431.9319763183594,19.08409962301945,41.60371601549774,0.0,4.75840504964093,1.8257564263124677,9,recovering,47.31553268432617,22.462,15.772,0.7,False,Medium,38.0,Low
Bagerhat,711.3568725585938,1466.984619140625,1354.5845947265625,2798.992919921875,1920.4246826171875,48.39542769419979,37.04164391332153,84.35711361502304,-9.435693359373722,-0.6612049872343522,9,stable,223.32339477539062,88.92,74.441,0.84,False,Medium,37.2,Low
Meherpur,164.63143920898438,251.85044860839844,204.903564453125,664.4117431640625,415.73870849609375,30.839846911394577,39.59973797112309,0.0,0.03332061767679165,0.012117074941325105,9,stable,74.62030792236328,20.579,24.873,1.21,False,Medium,36.7,Low
Madaripur,234.8256072998047,488.03656005859375,412.4786071777344,992.2628784179688,679.9771728515625,41.56948890755408,34.53433683884364,0.0,-5.81491495768084,-1.1860842292971128,9,declining,77.2133560180664,29.353,25.738,0.88,False,Medium,35.9,Low
Chittagong,487.73101806640625,2886.990234375,2567.512451171875,4076.49365234375,3159.31640625,62.98335457227322,15.43786551741192,0.3688521540513172,-38.55194091796245,-1.3818582767438423,9,declining,133.2194366455078,60.966,44.406,0.73,False,Medium,34.5,Low
Shariatpur,203.40904235839844,497.79779052734375,437.9591369628906,924.7020874023438,633.8303833007812,47.362187555258735,32.09203088357972,0.0,-6.3758097330719705,-1.3376931122144928,9,declining,51.00395202636719,25.426,17.001,0.67,False,Medium,33.3,Low
Chandpur,366.3294372558594,920.9701538085938,695.7637329101562,1329.555419921875,1055.079345703125,52.330555197995395,34.72055810283448,0.0,-22.923562622067934,-2.779473760141005,9,declining,136.0448455810547,45.791,45.348,0.99,False,Medium,33.3,Low
Jhalokati,153.94509887695312,419.7163391113281,342.25494384765625,680.707763671875,495.0499572753906,50.27927726304517,31.096881560039247,0.0,-8.834075927732927,-2.2007592705008743,9,declining,78.8499984741211,19.243,26.283,1.37,False,Medium,31.7,Low
Pirojpur,218.43093872070312,647.56884765625,564.7211303710938,1121.7081298828125,765.986328125,50.34474791852418,28.516297315042646,0.0,-11.846271769203838,-1.9181075198792894,9,declining,86.28104400634766,27.304,28.76,1.05,False,Medium,29.4,Low
Lakshmipur,148.5448760986328,678.7129516601562,612.8417358398438,1098.48876953125,778.0420532226562,55.78953129410301,19.092139747891363,0.0,-7.264887491860771,-1.0962908397409399,9,declining,54.34897232055664,18.568,18.116,0.98,False,Medium,26.7,Low
Pabna,269.3288269042969,431.3406066894531,478.72052001953125,1916.7005615234375,749.6563110351562,24.976281096251842,35.926973859847394,0.0,9.38156382242816,1.9364164353948647,9,recovering,81.19815826416016,33.666,27.066,0.8,False,Medium,26.6,Low
Cox's Bazar,213.92283630371094,998.3631591796875,925.1029052734375,1576.6436767578125,1126.1995849609375,58.67545843813016,18.99510878536959,2.1706910318370576,-5.965350341796627,-0.6221793192131562,9,stable,54.07456970214844,26.74,18.025,0.67,False,Medium,25.6,Low
Rangamati,43.95236587524414,4996.45947265625,4953.18212890625,5040.78076171875,5013.8466796875,98.26220109635096,0.8766196631681521,0.28610517603070573,-3.863118489582492,-0.07749612538417557,9,stable,18.26190948486328,5.494,6.087,1.11,False,Low,21.1,Low
Rajbari,108.95713806152344,230.4181671142578,250.8362274169922,942.4078369140625,378.5025634765625,26.616526050797873,28.7863672733805,0.0,6.6687929789223,2.5372513361207307,9,recovering,27.700986862182617,13.62,9.234,0.68,False,Medium,20.5,Low
Narsingdi,204.81214904785156,588.2943115234375,523.66552734375,990.601318359375,714.9437255859375,52.863398991941594,28.64731051104704,0.0,-5.3254201253251905,-0.9405671149152983,9,stable,48.404903411865234,25.602,16.135,0.63,False,Medium,19.1,Low
Maulvibazar,184.78099060058594,1082.8050537109375,1045.93994140625,2242.7431640625,1235.1375732421875,46.63663491059925,14.960357016388313,0.0,-8.086317952471587,-0.7340661813202036,9,stable,63.47603988647461,23.098,21.159,0.92,False,Medium,18.1,Low
Khagrachhari,74.58855438232422,2734.922607421875,2673.59765625,2841.22021484375,2776.46728515625,94.10033204332356,2.6864553665406015,0.0,-7.350508626300589,-0.26953057636877453,9,stable,33.722434997558594,9.324,11.241,1.21,False,Medium,12.8,Low
Bandarban,41.85868453979492,4591.52099609375,4565.93994140625,4611.7236328125,4602.08984375,99.00723254358743,0.909558178153395,0.0,-3.951944986978595,-0.08632505572645827,9,stable,15.269522666931152,5.232,5.09,0.97,False,Low,11.2,Low
