district,year,forest_km2,edge_km2,edge_ratio
Jhenaidah,2019,672.28466796875,463.47479248046875,0.689402591733674
Khulna,2019,1016.8317260742188,793.0822143554688,0.7799542382665404
Kushtia,2019,413.05157470703125,332.5677795410156,0.8051483153814362
Magura,2019,284.3843994140625,233.54205322265625,0.821219636885285
Meherpur,2019,307.8857421875,231.34024047851562,0.7513834152723813
Narail,2019,343.24188232421875,252.83126831054688,0.7365979541847635
Satkhira,2019,910.7464599609375,680.832763671875,0.7475546637876324
Habiganj,2019,516.3887329101562,171.01071166992188,0.33116662074746533
Maulvibazar,2019,1136.4881591796875,302.35113525390625,0.2660398463562894
Sunamganj,2019,165.68942260742188,146.8140869140625,0.8860800200983145
Sylhet,2019,837.5363159179688,538.89453125,0.6434282561937066
Bogra,2019,110.87889862060547,108.0974349975586,0.9749144006871477
Joypurhat,2019,27.90188217163086,27.052656173706055,0.9695638454531124
Naogaon,2019,90.52436065673828,85.8144760131836,0.9479710808296761
Natore,2019,358.0632629394531,301.7303466796875,0.8426732868451482
Nawabganj,2019,349.4845886230469,233.12623596191406,0.66705727105284
Pabna,2019,506.5435791015625,395.5596923828125,0.7808996277958986
Rajshahi,2019,377.2124328613281,238.7583465576172,0.6329546053043013
Sirajganj,2019,207.9758758544922,192.66000366210938,0.9263574579048852
Dinajpur,2019,112.89517211914062,107.03270721435547,0.9480716066529543
Gaibandha,2019,60.86924743652344,59.003204345703125,0.9693434177452861
Kurigram,2019,195.3795623779297,175.8125457763672,0.899851262008084
Lalmonirhat,2019,176.5666961669922,166.17315673828125,0.9411353349508166
Nilphamari,2019,86.67508697509766,84.65258026123047,0.9766656511755417
Panchagarh,2019,94.09822082519531,84.02615356445312,0.8929621923516184
Rangpur,2019,220.95928955078125,205.865478515625,0.9316896290450493
Thakurgaon,2019,136.72105407714844,128.11886596679688,0.9370821987263385
Barguna,2019,238.7222137451172,218.35867309570312,0.9146977554792779
Barisal,2020,1049.484130859375,629.29052734375,0.5996189068894758
Bhola,2020,525.70556640625,374.85052490234375,0.7130427160298891
Jhalokati,2020,426.82470703125,261.976806640625,0.613780791798082
Patuakhali,2020,112.97509765625,107.08145141601562,0.9478323421488246
