district,deforested_km2,forest_km2_2016,forest_km2_2024,land_km2,ever_forest_km2,forest_pct_now,forest_loss_pct,protected_loss_km2,forest_km2_per_year,forest_pct_per_year,years_available,trend,recent_loss_km2,loss_rate_all_km2_yr,loss_rate_recent_km2_yr,acceleration,alert,priority,restoration_need,restoration_tier,projected_loss_pct,projected_lo,projected_hi,projected_loss_km2,risk_tier,edge_ratio,nbr_loss_pct,net_change_km2
Kushtia,294.15655517578125,391.48956298828125,323.8697814941406,1464.512939453125,642.3292846679688,22.114504608957525,45.79528945622274,0.0,-2.53486124674395,-0.6513605109356394,9,stable,89.06808471679688,36.77,29.689,0.81,False,Medium,48.6,Low,18.8,1.95,35.64,60.89,High,0.8525539301761638,17.97782074801724,-67.61978149414062
Magura,173.24713134765625,322.9587707519531,221.4292449951172,1006.74755859375,410.0935974121094,21.994515219328175,42.24575375985632,0.0,-6.4836069742834574,-2.3580202549089884,9,declining,38.53143310546875,21.656,12.844,0.59,False,Medium,57.2,Medium,12.28,-4.56,29.12,27.19,High,0.8718573647389496,15.356295888398098,-101.52952575683594
Meherpur,164.63143920898438,251.85044860839844,204.903564453125,664.4117431640625,415.73870849609375,30.839846911394577,39.59973797112309,0.0,0.03332061767679165,0.012117074941325105,9,stable,74.62030792236328,20.579,24.873,1.21,False,Medium,36.7,Low,-27.64,-44.49,-10.8,-56.64,Low,0.8003354045407698,27.890627082113483,-46.94688415527344
Narail,166.04685974121094,339.6255187988281,232.99851989746094,911.5109252929688,424.2155456542969,25.561791244857858,39.14209685199193,0.0,-11.06105702717927,-3.6281877771025566,9,declining,42.24410629272461,20.756,14.081,0.68,False,Medium,50.6,Medium,-8.78,-25.63,8.06,-20.46,Low,0.8298053326335639,17.52377144152183,-106.62699890136719
Satkhira,592.8389282226562,876.66748046875,595.299560546875,2033.2371826171875,1162.333984375,29.27841206310245,51.004180914613144,109.972284645543,-37.934949747715216,-4.84733816578663,9,declining,222.63497924804688,74.105,74.212,1.0,False,Medium,65.6,Medium,10.7,-6.15,27.54,63.7,High,0.8082092602078376,13.46465081013916,-281.367919921875
Habiganj,131.90933227539062,515.7783813476562,471.0376281738281,2068.549560546875,614.684814453125,22.771396787287856,21.459669927383548,0.01270470099457081,-4.825266011555106,-0.9507563494252184,9,stable,37.367530822753906,16.489,12.456,0.76,False,Medium,41.9,Low,-1.01,-17.85,15.84,-4.76,Low,0.35075508127296207,6.724163743249486,-44.740753173828125
Maulvibazar,184.78099060058594,1082.8050537109375,1045.93994140625,2242.7431640625,1235.1375732421875,46.63663491059925,14.960357016388313,0.0,-8.086317952471587,-0.7340661813202036,9,stable,63.47603988647461,23.098,21.159,0.92,False,Medium,18.1,Low,1.33,-15.52,18.17,13.91,Medium,0.28453688228991847,10.288271181915164,-36.8651123046875
Sunamganj,135.37924194335938,105.38058471679688,112.10325622558594,1013.8527221679688,238.30162048339844,11.057153941044838,56.810038332404346,0.0,-1.6697870890288227,-1.3006216827968204,9,declining,41.84389877319336,16.922,13.948,0.82,False,Medium,70.0,Medium,31.03,14.19,47.87,34.79,High,0.8606171885197894,1.9794774148513539,6.7226715087890625
Sylhet,370.8045959472656,589.8078002929688,582.8680419921875,2309.146240234375,934.132568359375,25.241711929558313,39.695072038705696,0.0,-15.89148457844396,-2.3230539806654944,9,declining,143.0868682861328,46.351,47.696,1.03,False,Medium,53.0,Medium,13.59,-3.25,30.44,79.21,High,0.6591613253177322,8.645527655676581,-6.93975830078125
Bogra,193.58078002929688,136.94931030273438,51.921287536621094,2555.428466796875,241.69644165039062,2.031803598153632,80.09252379036174,0.0,-9.521076711017804,-9.599585200161998,9,declining,59.554813385009766,24.198,19.852,0.82,False,Medium,81.6,High,39.64,22.79,56.48,20.58,High,0.9693812746797519,25.779441705896527,-85.02802276611328
Joypurhat,68.53211212158203,55.74533462524414,19.29962158203125,935.059814453125,87.32079315185547,2.0639986109678707,78.48315349403786,0.0,-2.1451566696168234,-6.644544418943158,9,declining,20.20368766784668,8.567,6.735,0.79,False,Medium,80.5,High,30.07,13.23,46.91,5.8,High,0.9912030960927246,43.92512760516181,-36.44571304321289
Naogaon,184.6515350341797,180.02392578125,138.88082885742188,2959.6416015625,361.56268310546875,4.692488062882402,51.07040733523829,0.0,3.2363409678122954,2.347379926711589,9,recovering,46.9568977355957,23.081,15.652,0.68,False,Medium,49.4,Low,22.41,5.56,39.25,31.12,High,0.8744816074897706,35.03685751552179,-41.143096923828125
Natore,375.6526794433594,579.9352416992188,435.50537109375,1652.031494140625,742.9791259765625,26.36180803080251,50.56032751251338,0.0,-5.98628743489816,-1.358024641026054,9,declining,53.368377685546875,46.957,17.789,0.38,False,Medium,57.8,Medium,9.57,-7.27,26.42,41.68,High,0.8261969330037056,29.710775044711994,-144.42987060546875
Nawabganj,185.40023803710938,380.317138671875,188.61294555664062,1357.2755126953125,489.8233337402344,13.896437664456807,37.85042999511979,0.0,-16.076939900713775,-4.867153064854714,9,declining,59.544189453125,23.175,19.848,0.86,False,Medium,54.1,Medium,38.19,21.35,55.03,72.03,High,0.8630819926448947,21.438172871762806,-191.70419311523438
